grupo,codigo,materia,semestre,cupo,inscritos,disponibles
1CV6,C104,"ANALISIS VECTORIAL",1,36,36,0
2CM1,C203,"CALCULO APLICADO",2,36,36,0
2CM1,C205,"INGENIERIA ETICA Y SOCIEDAD",2,36,36,0
2CM1,C206,"FUNDAMENTOS ECONOMICOS",2,36,36,0
2CM2,C202,"ALGEBRA LINEAL",2,36,36,0
2CM2,C206,"FUNDAMENTOS ECONOMICOS",2,36,36,0
2CM3,C206,"FUNDAMENTOS ECONOMICOS",2,36,36,0
2CM4,C205,"INGENIERIA ETICA Y SOCIEDAD",2,36,36,0
2CM5,C201,"ALGORITMOS Y ESTRUCTURA DE DATOS",2,36,36,0
2CM5,C206,"FUNDAMENTOS ECONOMICOS",2,36,36,0
2CM6,C202,"ALGEBRA LINEAL",2,36,36,0
2CV1,C201,"ALGORITMOS Y ESTRUCTURA DE DATOS",2,36,36,0
2CV1,C202,"ALGEBRA LINEAL",2,36,36,0
2CV3,C203,"CALCULO APLICADO",2,36,36,0
2CV4,C204,"MECANICA Y ELECTROMAGNETISMO",2,36,36,0
2CV4,C205,"INGENIERIA ETICA Y SOCIEDAD",2,36,36,0
2CV5,C201,"ALGORITMOS Y ESTRUCTURA DE DATOS",2,36,36,0
2CV5,C203,"CALCULO APLICADO",2,36,36,0
2CV5,C204,"MECANICA Y ELECTROMAGNETISMO",2,36,36,0
